USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
450010,99999,CHEUNG CHAU,CH,,VHCH,22.2,114.017,79,19730101,20020513
450030,99999,TAI-O,CH,,,22.25,113.85,76,19770514,20020820
450040,99999,KOWLOON,CH,,,22.312,114.173,66.4,19791102,20180930
450050,99999,HONG KONG OBSERVATORY,CH,,,22.3,114.167,62,19460901,20180930
450060,99999,GREEN ISLAND,CH,,,22.283,114.117,76,20010707,20010707
450070,99999,HONG KONG INTL,CH,,VHHH,22.309,113.915,8.5,19481231,20210419
450090,99999,TAI MO SHAN,CH,,,22.417,114.117,947,19471231,19560331
450100,99999,TATE'S CAIRN,CH,,,22.367,114.217,576,20011226,20011226
450110,99999,MACAU INTL,CH,,VMCH,22.15,113.592,6.1,19510320,20210419
450200,99999,MACAO/FORTALEZA DO MONTE,CH,,,22.183,113.533,59,20120823,20120823
450320,99999,TA KWU LING,CH,,,22.533,114.15,13,19921204,20210419
450330,99999,KAT O,CH,,,22.533,114.3,10,19921204,19990604
450340,99999,TAI MEI TUK,CH,,,22.483,114.233,53,19921204,19960405
450350,99999,LAU FAU SHAN,CH,,,22.467,113.983,35,20040713,20210419
450390,99999,SHA TIN,CH,,,22.4,114.2,8,20040713,20210419
450410,99999,TSEUNG KAWN O,CH,,,22.317,114.25,32,20040604,20040604
450440,99999,CHEUNG CHAU,CH,,,22.2,114.017,79,20020313,20210419
450450,99999,WAGLAN ISLAND,CH,,,22.183,114.3,60,20040122,20210419
465890,99999,HSIA-TA-CHEN SHAN CHINA SEA,CH,,,28.417,121.917,35.7,19540516,19550131
466860,99999,CHIANG KAI SHEK INTL,CH,,RCTP,25.078,121.233,32.6,19790301,20210419
466880,99999,MATSU,CH,,,26.233,120,8,19730101,19730901
466888,99999,BEIGAN,CH,,RCMT,26.224,120.003,12.5,19990114,20001231
466890,99999,NANGAN,CH,,RCFG,26.16,119.958,68,19540517,19991017
466900,99999,TANSHUI,CH,,,25.167,121.433,19,19730101,19780629
466920,99999,TAIBEI,CH,,,25.033,121.517,9,19730101,20180711
466940,99999,CHILUNG,CH,,,25.15,121.8,3,19730101,19981231
466950,99999,PENGJIA YU(=589740),CH,,,25.633,122.067,102,19730101,19981231
466960,99999,SUNGSHAN,CH,,RCSS,25.069,121.552,5.5,19461231,20210419
466970,99999,TAOYUAN,CH,,RCGM,25.056,121.243,46,19491231,20001231
466990,99999,HUA-LIEN CITY,CH,,,23.983,121.6,19,19730101,20180711
467060,99999,SUAO MET STATION,CH,,,24.6,121.85,3,19820101,19981231
467080,99999,ILAN CITY,CH,,,24.75,121.783,7,19730101,20180711
467300,99999,DONGSHI,CH,,RCNO,23.267,119.667,45,19730101,20010626
467340,99999,MAGONG,CH,,RCQC,23.569,119.628,31.4,19490531,20140228
467350,99999,PENGHU ISLANDS,CH,,,23.5,119.5,21,19730101,20091105
467360,99999,SHANG YI,CH,,RCBS,24.428,118.359,28.3,19540516,20020318
467373,99999,BAKUAI/PA KUEI,CH,,,24.933,121.3,141,19880105,19900703
467380,99999,PA KUEI/BAKUAI,CH,,RCUK,24.933,121.3,141,19811101,20010102
467400,99999,KAOHSIUNG INTL,CH,,RCKH,22.577,120.35,7.9,19730101,20210419
467403,99999,FENGNIN,CH,,RCFN,22.755,121.102,43.6,19820603,20210419
